No_Of_Owners,car_age,Mileage,Fuel_Type,Kilomerters_driven,Price,Features_encoded,Model_encoded,location_encoded
2,9,22.38,4,11.347720578576464,1.4586150226995167,150,159,210
2,9,16.5,4,8.853808274977197,1.9387416595767009,81,55,216
1,7,17.4,4,10.819798284210286,1.791759469228055,81,57,224
1,11,17.68,1,10.859018228147887,2.463853240590168,72,4,224
1,3,17.33,4,9.642642134037906,2.2353763433005955,206,228,220
2,15,20.36,4,10.819798284210286,1.0116009116784799,195,81,220
1,39,12.8,4,11.289794413577894,1.7833912195575383,9,0,224
1,7,17.4,4,10.968215530759236,1.8718021769015913,81,57,224
1,3,17.7,4,9.546884034617925,2.4203681286504293,81,78,219
3,10,16.3,4,11.289794413577894,1.5040773967762742,79,68,253
1,7,14.59,4,10.714439990727769,2.169053700369523,79,68,223
1,10,22.41,4,11.688868388133004,1.4011829736136412,148,160,210
1,8,21.4,4,11.493487771077753,1.6714733033535532,153,140,210
1,11,14.84,1,10.604875682997651,2.468099531471619,72,174,224
2,10,22.41,4,11.350288881492672,1.420695787837223,148,160,224
2,10,20.51,4,11.184671366753399,1.3056264580524357,93,163,224
1,9,20.77,1,11.082188701658872,1.8261608959453874,237,147,253
1,9,22.41,4,11.360508281769121,1.4861396960896067,148,160,253
2,13,19.7,4,11.156264806643742,0.9162907318741551,249,137,220
1,7,18.15,4,10.77908128207818,1.623340817603092,121,118,224
1,5,20.3,4,9.062536177207788,1.7227665977411035,81,73,211
1,4,19.33,4,9.210440366976517,2.1102132003465894,81,219,226
1,12,20.0,1,11.112462823634855,1.4816045409242156,72,213,224
1,4,19.33,4,9.210440366976517,2.122261538862764,81,219,226
1,6,19.67,1,10.819798284210286,2.5649493574615367,81,66,224
3,13,19.0,4,11.002116507732017,0.8960880245566356,64,167,192
3,7,23.1,4,11.002116507732017,1.5040773967762742,162,143,192
1,10,14.16,1,10.434145214930487,3.0204248861443626,72,8,224
1,12,19.0,4,11.002116507732017,1.3862943611198906,119,136,225
1,10,12.99,1,11.931642378754141,2.0731719286662407,161,250,224
1,10,12.65,1,10.714439990727769,4.04305126783455,72,104,224
3,11,14.53,4,10.946710449956035,1.6074359097634274,151,242,224
1,2,14.08,1,8.869960510523953,3.095125017432026,81,227,224
1,3,14.08,1,10.146786610053903,3.044522437723423,81,227,219
1,12,18.9,4,10.580759383937783,1.1537315878891892,129,163,223
1,6,19.255853130413264,1,11.479451408112512,2.288486168614544,155,130,219
1,8,17.19,4,10.819798284210286,1.8718021769015913,79,83,219
1,5,22.25,4,10.320419992085187,1.4516138272405332,37,204,226
1,8,12.55,1,11.761604200640772,2.9311937524164198,79,246,224
1,7,17.5,4,10.897091115512916,1.7698546338400052,81,62,219
1,8,23.9,1,10.373741150537072,1.9629077254238845,79,78,224
1,9,19.81,4,11.51293546492023,1.410986973710262,93,81,192
2,10,17.92,4,10.308985993422082,1.2383742310432684,166,74,224
1,6,19.6,1,11.104250209849171,3.0349529867072724,72,265,253
1,3,11.2,1,10.563775741214291,3.828641396489095,72,270,220
1,6,17.4,4,11.289794413577894,2.0149030205422647,153,57,224
1,9,17.01,4,11.002116507732017,2.1400661634962708,153,78,192
1,8,17.19,4,11.695255355062795,1.791759469228055,125,83,224
2,12,12.2,1,11.918397239722838,2.1041341542702074,234,31,192
1,7,26.0,1,9.852246888342531,2.186051276738094,79,57,219
1,12,12.8,1,12.468440756144114,2.0082140323914683,79,250,224
1,10,17.4,4,11.178193712826786,1.6154199841116479,79,57,253
2,9,18.9,4,11.082757744221691,1.3887912413184778,93,70,223
2,17,17.92,4,11.002116507732017,10.596659732783579,137,74,192
1,5,23.01,4,11.206114937916778,1.5238800240724537,81,204,226
1,3,20.3,4,10.209537399846088,1.809926773183504,81,73,253
1,7,18.6,4,10.491301994830229,1.6582280766035324,129,82,224
1,10,18.9,4,11.34294346177025,1.3270750014599193,93,70,253
1,5,19.01,4,10.392067567354799,2.1400661634962708,150,147,209
1,7,13.06,4,10.769137408730304,1.873339456220478,72,202,224
1,10,19.4,4,10.476104176458326,1.264126727145683,163,55,210
1,4,19.255853130413264,4,10.24476963186738,2.6210388241125804,74,98,224
0,2,16.5,4,8.517393171418904,2.653241964607215,81,129,192
1,13,16.95,4,10.239995502805316,1.308332819650179,175,81,220
1,1,19.255853130413264,1,9.90353755128617,3.044522437723423,81,93,224
2,4,15.8,4,10.421775265533249,4.382026634673881,100,105,253
1,10,20.36,4,10.736527101747964,1.2669476034873244,175,81,224
1,3,12.4,1,7.850103545175582,3.56953269648137,74,109,219
1,6,22.0,4,10.239995502805316,1.8484548129046001,74,159,224
1,9,18.2,4,10.373522431293592,1.6863989535702288,72,59,224
1,15,17.5,4,10.714439990727769,1.1786549963416462,173,160,220
1,5,15.1,1,11.271694314857363,2.6354795082673745,81,130,224
1,2,19.255853130413264,4,9.2299469016151,2.9402195636237325,74,110,220
2,10,21.1,4,11.002116507732017,1.0296194171811583,241,67,223
1,7,17.8,4,10.399554805326574,1.9487632180377197,79,57,249
1,2,26.49,0,8.556221578383715,2.131796772013764,81,236,224
1,11,18.5,4,10.596659732783579,1.4701758451005928,79,82,224
1,5,14.84,4,9.87075772791321,2.1400661634962708,81,215,220
1,14,17.5,4,11.002116507732017,1.2237754316221157,173,160,220
1,5,21.79,4,10.348109269178813,1.747459210331475,155,163,220
1,3,21.7,4,8.802672840312818,1.4951487660319727,81,36,253
